ID	Sample5_RIBO	Sample10_RIBO	Sample15_RIBO	Sample20_RIBO	Sample1_RIBO	Sample6_RIBO	Sample11_RIBO	Sample16_RIBO	Sample5_RNA	Sample10_RNA	Sample15_RNA	Sample20_RNA	Sample1_RNA	Sample6_RNA	Sample11_RNA	Sample16_RNA
ENSG00000114030	1592	2130	2441	1522	1671	2368	588	1071	1980	2940	2173	2400	2440	2678	2664	2861
ENSG00000138496	72	117	143	72	169	223	76	68	203	471	282	322	457	636	634	506
ENSG00000163840	98	179	188	92	216	329	115	117	98	186	116	146	204	287	397	244
ENSG00000173200	6	5	12	1	4	2	2	3	26	31	20	25	31	22	37	36
ENSG00000173193	150	267	435	194	344	413	170	240	366	475	449	483	583	683	1013	863
ENSG00000169087	55	102	111	64	59	67	26	27	278	479	367	265	229	273	335	195
ENSG00000138463	595	819	921	711	582	612	221	356	767	969	769	716	568	685	552	552
ENSG00000082684	5	1	6	4	10	3	1	7	13	7	23	9	21	1	13	5
ENSG00000065485	1937	1943	3324	2952	2531	1831	831	2167	4391	3041	5153	5594	3502	2690	3195	5034
ENSG00000121542	416	490	691	444	344	423	131	234	985	1332	1038	1173	1014	1053	1280	1175
